event_name,date,time,venue,genre
NBA: Utah Jazz at New York Knicks,2025-01-01,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Boston Bruins at New York Rangers,2025-01-02,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Toronto Maple Leafs at New York Islanders,2025-01-02,19:30:00,UBS Arena,Sports - Hockey
NBA: Philadelphia 76ers at Brooklyn Nets,2025-01-04,18:00:00,Barclays Center,Sports - Basketball
NFL: Miami Dolphins at New York Jets,2025-01-05,16:25:00,MetLife Stadium,Sports - Football
NBA: Indiana Pacers at Brooklyn Nets,2025-01-06,19:30:00,Barclays Center,Sports - Basketball
NBA: Orlando Magic at New York Knicks,2025-01-06,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Dallas Stars at New York Rangers,2025-01-07,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Toronto Raptors at New York Knicks,2025-01-08,19:30:00,Madison Square Garden,Sports - Basketball
NBA: Detroit Pistons at Brooklyn Nets,2025-01-08,19:30:00,Barclays Center,Sports - Basketball
Concert: LAUNDRY DAY,2025-01-08,19:30:00,Madison Square Garden,Concert - Live Music
NHL: New Jersey Devils at New York Rangers,2025-01-09,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Oklahoma City Thunder at New York Knicks,2025-01-10,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Tampa Bay Lightning at New Jersey Devils,2025-01-11,19:00:00,Prudential Center,Sports - Hockey
NBA: Milwaukee Bucks at New York Knicks,2025-01-12,15:00:00,Madison Square Garden,Sports - Basketball
NBA: Detroit Pistons at New York Knicks,2025-01-13,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Florida Panthers at New Jersey Devils,2025-01-14,19:30:00,Prudential Center,Sports - Hockey
NHL: Ottawa Senators at New York Islanders,2025-01-14,19:30:00,UBS Arena,Sports - Hockey
NHL: Philadelphia Flyers at New York Islanders,2025-01-16,19:30:00,UBS Arena,Sports - Hockey
NBA: Minnesota Timberwolves at New York Knicks,2025-01-17,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Philadelphia Flyers at New Jersey Devils,2025-01-18,12:30:00,Prudential Center,Sports - Hockey
NHL: Columbus Blue Jackets at New York Rangers,2025-01-18,19:00:00,Madison Square Garden,Sports - Hockey
NHL: San Jose Sharks at New York Islanders,2025-01-18,19:30:00,UBS Arena,Sports - Hockey
NHL: Ottawa Senators at New Jersey Devils,2025-01-19,13:00:00,Prudential Center,Sports - Hockey
NBA: Atlanta Hawks at New York Knicks,2025-01-20,15:00:00,Madison Square Garden,Sports - Basketball
NHL: Columbus Blue Jackets at New York Islanders,2025-01-20,19:30:00,UBS Arena,Sports - Hockey
NHL: Ottawa Senators at New York Rangers,2025-01-21,19:00:00,Madison Square Garden,Sports - Hockey
NBA: New York Knicks at Brooklyn Nets,2025-01-21,19:30:00,Barclays Center,Sports - Basketball
NHL: Boston Bruins at New Jersey Devils,2025-01-22,19:00:00,Prudential Center,Sports - Hockey
NBA: Phoenix Suns at Brooklyn Nets,2025-01-22,19:30:00,Barclays Center,Sports - Basketball
NHL: Philadelphia Flyers at New York Rangers,2025-01-23,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Philadelphia Flyers at New York Islanders,2025-01-24,19:30:00,UBS Arena,Sports - Hockey
NBA: Miami Heat at Brooklyn Nets,2025-01-25,18:00:00,Barclays Center,Sports - Basketball
NBA: Sacramento Kings at New York Knicks,2025-01-25,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Carolina Hurricanes at New York Islanders,2025-01-25,19:30:00,UBS Arena,Sports - Hockey
NHL: Colorado Avalanche at New York Rangers,2025-01-26,13:00:00,Madison Square Garden,Sports - Hockey
NBA: Sacramento Kings at Brooklyn Nets,2025-01-27,19:30:00,Barclays Center,Sports - Basketball
NBA: Memphis Grizzlies at New York Knicks,2025-01-27,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Carolina Hurricanes at New York Rangers,2025-01-28,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Colorado Avalanche at New York Islanders,2025-01-28,19:30:00,UBS Arena,Sports - Hockey
NHL: Philadelphia Flyers at New Jersey Devils,2025-01-29,19:00:00,Prudential Center,Sports - Hockey
NBA: Denver Nuggets at New York Knicks,2025-01-29,19:30:00,Madison Square Garden,Sports - Basketball
NBA: Los Angeles Lakers at New York Knicks,2025-02-01,20:30:00,Madison Square Garden,Sports - Basketball
NHL: Vegas Golden Knights at New York Rangers,2025-02-02,18:00:00,Madison Square Garden,Sports - Hockey
NBA: Houston Rockets at New York Knicks,2025-02-03,19:30:00,Madison Square Garden,Sports - Basketball
NBA: Houston Rockets at Brooklyn Nets,2025-02-04,19:30:00,Barclays Center,Sports - Basketball
NHL: Vegas Golden Knights at New York Islanders,2025-02-04,19:30:00,UBS Arena,Sports - Hockey
NHL: Boston Bruins at New York Rangers,2025-02-05,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Washington Wizards at Brooklyn Nets,2025-02-05,19:30:00,Barclays Center,Sports - Basketball
NHL: Vegas Golden Knights at New Jersey Devils,2025-02-06,19:00:00,Prudential Center,Sports - Hockey
Concert: Hans Zimmer,2025-02-06,19:30:00,Barclays Center,Concert - Live Music
NHL: Pittsburgh Penguins at New York Rangers,2025-02-07,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Miami Heat at Brooklyn Nets,2025-02-07,19:30:00,Barclays Center,Sports - Basketball
NBA: Boston Celtics at New York Knicks,2025-02-08,20:30:00,Madison Square Garden,Sports - Basketball
NBA: Charlotte Hornets at Brooklyn Nets,2025-02-10,19:30:00,Barclays Center,Sports - Basketball
NBA: Philadelphia 76ers at Brooklyn Nets,2025-02-12,19:30:00,Barclays Center,Sports - Basketball
NBA: Atlanta Hawks at New York Knicks,2025-02-12,19:30:00,Madison Square Garden,Sports - Basketball
NBA: Cleveland Cavaliers at Brooklyn Nets,2025-02-20,19:30:00,Barclays Center,Sports - Basketball
NBA: Chicago Bulls at New York Knicks,2025-02-20,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Dallas Stars at New Jersey Devils,2025-02-22,18:00:00,Prudential Center,Sports - Hockey
Concert: JJ Lin,2025-02-22,19:30:00,Barclays Center,Concert - Live Music
NHL: Dallas Stars at New York Islanders,2025-02-23,19:30:00,UBS Arena,Sports - Hockey
NHL: New York Rangers at New York Islanders,2025-02-25,19:30:00,UBS Arena,Sports - Hockey
NBA: Philadelphia 76ers at New York Knicks,2025-02-26,19:00:00,Madison Square Garden,Sports - Basketball
NBA: Oklahoma City Thunder at Brooklyn Nets,2025-02-26,19:30:00,Barclays Center,Sports - Basketball
NHL: Toronto Maple Leafs at New York Rangers,2025-02-28,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Portland Trail Blazers at Brooklyn Nets,2025-02-28,19:30:00,Barclays Center,Sports - Basketball
NHL: Nashville Predators at New York Islanders,2025-03-01,12:30:00,UBS Arena,Sports - Hockey
NYC Permit: QUEENS COUNTY ST. PATRICKS DAY PARADE,2025-03-01,13:00:00,NEWPORT AVENUE between BEACH  129 STREET and BEACH  136 STREET,Mega-Event - Street Closure
NYC Permit: Richmond County St. Patrick's Day Parade,2025-03-02,12:30:00,FOREST AVENUE between HART BOULEVARD and JEWETT AVENUE,Mega-Event - Street Closure
NHL: Nashville Predators at New York Rangers,2025-03-02,19:00:00,Madison Square Garden,Sports - Hockey
NHL: New York Islanders at New York Rangers,2025-03-03,19:00:00,Madison Square Garden,Sports - Hockey
NBA: Golden State Warriors at New York Knicks,2025-03-04,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Winnipeg Jets at New York Islanders,2025-03-04,19:30:00,UBS Arena,Sports - Hockey
NHL: Washington Capitals at New York Rangers,2025-03-05,19:30:00,Madison Square Garden,Sports - Hockey
NBA: Golden State Warriors at Brooklyn Nets,2025-03-06,19:30:00,Barclays Center,Sports - Basketball
NHL: Winnipeg Jets at New Jersey Devils,2025-03-07,19:00:00,Prudential Center,Sports - Hockey
Concert: Dom Dolla,2025-03-07,19:30:00,Madison Square Garden,Concert - Live Music
Concert: Fcukers,2025-03-08,19:30:00,Madison Square Garden,Concert - Live Music
Concert: Tiga,2025-03-08,19:30:00,Madison Square Garden,Concert - Live Music
Concert: Dom Dolla,2025-03-08,19:30:00,Madison Square Garden,Concert - Live Music
NHL: Columbus Blue Jackets at New York Rangers,2025-03-09,18:00:00,Madison Square Garden,Sports - Hockey
Concert: Zhou Shen,2025-03-09,19:30:00,Barclays Center,Concert - Live Music
NBA: Los Angeles Lakers at Brooklyn Nets,2025-03-10,19:30:00,Barclays Center,Sports - Basketball
Concert: The Brothers,2025-03-10,19:30:00,Madison Square Garden,Concert - Live Music
NHL: Columbus Blue Jackets at New Jersey Devils,2025-03-11,19:00:00,Prudential Center,Sports - Hockey
NHL: Edmonton Oilers at New Jersey Devils,2025-03-13,19:30:00,Prudential Center,Sports - Hockey
Concert: j‐hope,2025-03-13,19:30:00,Barclays Center,Concert - Live Music
NHL: Edmonton Oilers at New York Islanders,2025-03-14,19:30:00,UBS Arena,Sports - Hockey
Concert: j‐hope,2025-03-14,19:30:00,Barclays Center,Concert - Live Music
NBA: Boston Celtics at Brooklyn Nets,2025-03-15,18:00:00,Barclays Center,Sports - Basketball
NYC Permit: Bronx St. Patrick's Day Parade,2025-03-16,12:00:00,LAFAYETTE AVENUE between EAST TREMONT AVENUE and SWINTON AVENUE,Mega-Event - Street Closure
NBA: Atlanta Hawks at Brooklyn Nets,2025-03-16,18:00:00,Barclays Center,Sports - Basketball
NHL: Edmonton Oilers at New York Rangers,2025-03-16,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Florida Panthers at New York Islanders,2025-03-16,19:30:00,UBS Arena,Sports - Hockey
NBA: Miami Heat at New York Knicks,2025-03-17,19:30:00,Madison Square Garden,Sports - Basketball
NHL: Calgary Flames at New York Rangers,2025-03-18,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Calgary Flames at New Jersey Devils,2025-03-20,19:00:00,Prudential Center,Sports - Hockey
NHL: Toronto Maple Leafs at New York Rangers,2025-03-20,19:00:00,Madison Square Garden,Sports - Hockey
NHL: Montreal Canadiens at New York Islanders,2025-03-20,19:30:00,UBS Arena,Sports - Hockey
Concert: Disturbed,2025-03-21,19:30:00,Madison Square Garden,Concert - Live Music
Concert: Sevendust,2025-03-21,19:30:00,Madison Square Garden,Concert - Live Music
Concert: Three Days Grace,2025-03-21,19:30:00,Madison Square Garden,Concert - Live Music
NHL: Vancouver Canucks at New York Rangers,2025-03-22,13:00:00,Madison Square Garden,Sports - Hockey
NHL: Calgary Flames at New York Islanders,2025-03-22,16:00:00,UBS Arena,Sports - Hockey
