date,temp_max_f,temp_min_f,temp_mean_f,feels_like_max_f,feels_like_min_f,precipitation_in,rain_in,snowfall_in,wind_max_mph,wind_gust_max_mph,wind_dir_deg,solar_radiation_mjm2,weather_code
2025-01-01,51.7,38.8,45.1,45.6,28.7,0.189,0.189,0.0,14.4,35.3,269,6.16,63
2025-01-02,41.6,32.9,36.8,30.0,23.3,0.0,0.0,0.0,16.0,38.7,272,7.46,3
2025-01-03,37.8,28.9,32.9,29.5,20.1,0.0,0.0,0.0,11.1,26.4,267,8.5,3
2025-01-04,31.8,27.7,29.5,20.8,16.9,0.0,0.0,0.0,15.7,37.1,290,6.44,3
2025-01-05,32.5,25.7,28.3,21.7,15.9,0.0,0.0,0.0,12.0,29.5,281,6.6,3
2025-01-06,29.3,23.7,27.8,23.8,13.1,0.063,0.0,0.441,11.3,25.3,328,2.06,73
2025-01-07,26.9,16.6,22.7,15.7,4.5,0.0,0.0,0.0,19.4,44.5,310,6.59,3
2025-01-08,27.7,20.1,24.4,16.1,8.4,0.0,0.0,0.0,16.6,38.7,299,7.85,3
2025-01-09,28.9,20.2,24.7,16.7,8.7,0.0,0.0,0.0,19.3,43.6,310,9.12,3
2025-01-10,37.9,25.4,30.7,29.1,14.5,0.0,0.0,0.0,14.6,32.9,314,9.27,3
2025-01-11,32.6,27.0,29.9,25.1,19.0,0.075,0.0,0.524,10.8,24.6,310,5.7,73
2025-01-12,40.3,29.1,33.0,32.6,19.8,0.0,0.0,0.0,9.8,22.4,313,8.84,3
2025-01-13,43.4,28.6,34.2,35.2,21.5,0.0,0.0,0.0,11.1,25.5,242,8.1,3
2025-01-14,32.5,25.4,28.9,23.9,15.1,0.0,0.0,0.0,13.8,32.7,291,10.05,3
2025-01-15,29.8,22.0,25.9,18.3,11.5,0.0,0.0,0.0,15.7,36.7,307,8.74,3
2025-01-16,30.7,22.2,26.5,21.7,13.9,0.016,0.0,0.11,6.7,18.6,238,7.84,71
2025-01-17,40.6,24.1,31.1,34.3,16.1,0.0,0.0,0.0,6.7,16.1,258,9.05,3
2025-01-18,43.6,30.6,37.0,37.5,22.8,0.087,0.087,0.0,9.0,20.4,193,2.71,53
2025-01-19,36.6,27.8,33.1,30.6,18.4,0.331,0.02,2.177,11.8,25.5,342,1.85,75
2025-01-20,27.0,14.1,19.4,18.0,4.4,0.008,0.0,0.055,10.6,24.8,295,10.77,71
2025-01-21,17.2,4.1,11.9,8.7,-4.3,0.012,0.0,0.083,6.4,13.6,260,9.62,71
2025-01-22,17.1,2.7,11.1,10.0,-5.8,0.0,0.0,0.0,6.9,14.5,321,11.47,3
2025-01-23,25.4,9.2,17.0,17.4,1.0,0.0,0.0,0.0,5.3,12.1,239,10.41,3
2025-01-24,30.4,15.9,21.5,22.2,7.9,0.0,0.0,0.0,6.8,16.6,270,11.53,3
2025-01-25,28.1,9.4,20.0,19.3,2.5,0.0,0.0,0.0,7.5,18.1,236,11.32,3
2025-01-26,39.3,22.7,30.2,30.7,15.5,0.0,0.0,0.0,10.7,24.4,258,10.18,3
2025-01-27,35.5,23.5,29.7,26.3,15.5,0.0,0.0,0.0,11.3,24.8,236,11.9,3
2025-01-28,39.4,26.5,32.8,28.8,20.1,0.0,0.0,0.0,14.5,33.6,268,9.86,3
2025-01-29,48.1,31.9,38.9,38.8,22.3,0.0,0.0,0.0,13.8,33.6,254,10.75,3
2025-01-30,33.6,20.8,28.2,25.6,12.0,0.0,0.0,0.0,9.8,24.4,287,11.74,3
2025-01-31,41.9,32.9,37.5,37.8,25.0,0.327,0.327,0.0,7.3,14.5,211,2.51,55
2025-02-01,41.6,21.5,32.7,37.1,11.6,0.067,0.067,0.0,11.7,29.8,335,8.4,53
2025-02-02,33.1,14.7,23.3,26.2,5.9,0.079,0.0,0.551,7.6,17.7,50,7.11,73
2025-02-03,42.3,26.6,35.1,36.6,20.4,0.008,0.0,0.055,8.3,17.7,214,8.99,71
2025-02-04,42.9,30.9,38.2,34.6,21.6,0.0,0.0,0.0,14.1,33.3,311,11.23,3
2025-02-05,35.0,25.9,29.4,27.6,17.1,0.0,0.0,0.0,9.2,22.1,328,11.27,3
2025-02-06,37.4,28.8,33.2,33.0,21.7,0.382,0.15,1.626,8.8,19.9,151,3.56,75
2025-02-07,40.5,27.7,34.0,30.8,19.8,0.0,0.0,0.0,16.3,38.3,286,12.15,3
2025-02-08,33.6,23.9,28.6,26.8,15.0,0.244,0.008,1.654,6.3,14.8,299,8.38,75
2025-02-09,34.2,28.9,31.7,26.7,22.4,0.248,0.118,0.909,7.8,17.2,317,11.04,75
2025-02-10,32.5,21.6,27.5,24.7,14.1,0.0,0.0,0.0,7.8,19.9,303,12.3,3
2025-02-11,31.3,14.8,23.9,25.6,8.2,0.043,0.0,0.303,3.5,8.1,265,9.16,73
2025-02-12,33.0,28.1,30.8,25.7,21.0,0.177,0.0,1.24,8.4,19.0,50,7.14,73
2025-02-13,42.4,33.3,37.2,35.3,25.1,0.244,0.236,0.055,11.9,26.6,301,5.99,71
2025-02-14,32.5,26.2,29.3,22.7,17.2,0.0,0.0,0.0,11.8,27.5,302,14.38,3
2025-02-15,34.7,24.9,30.0,27.2,18.0,0.26,0.126,0.937,7.7,19.9,113,5.37,73
2025-02-16,44.9,33.1,36.5,35.3,25.5,0.827,0.827,0.0,17.9,37.8,5,2.08,63
2025-02-17,34.5,26.1,29.3,23.8,15.0,0.0,0.0,0.0,17.7,40.9,275,10.96,3
2025-02-18,26.3,16.4,22.3,16.8,5.0,0.0,0.0,0.0,13.8,35.8,293,15.19,3
2025-02-19,29.8,15.4,22.5,20.2,5.4,0.0,0.0,0.0,10.4,28.0,299,13.54,3
2025-02-20,29.8,15.9,23.1,21.3,7.6,0.035,0.0,0.248,11.8,27.3,322,11.39,71
2025-02-21,31.1,20.8,24.8,20.6,10.0,0.0,0.0,0.0,13.0,31.3,311,15.56,3
2025-02-22,38.3,19.0,28.2,30.7,9.8,0.0,0.0,0.0,9.5,22.8,263,15.89,3
2025-02-23,46.0,29.1,36.3,39.1,21.0,0.0,0.0,0.0,7.1,17.4,263,15.11,3
2025-02-24,46.6,29.4,38.0,39.1,23.7,0.0,0.0,0.0,10.9,23.5,163,15.04,3
2025-02-25,54.3,38.4,44.5,49.6,32.1,0.0,0.0,0.0,8.4,19.9,217,12.3,3
2025-02-26,55.1,36.0,44.1,47.0,29.5,0.004,0.004,0.0,11.8,28.6,302,15.26,51
2025-02-27,53.3,39.4,46.4,49.9,33.8,0.079,0.079,0.0,9.4,21.7,192,6.16,53
2025-02-28,48.7,35.2,42.5,40.9,28.3,0.0,0.0,0.0,11.0,27.5,276,16.91,3
2025-03-01,59.9,29.6,43.8,53.1,18.3,0.0,0.0,0.0,16.9,39.1,260,14.01,3
2025-03-02,32.5,18.5,25.4,22.7,7.8,0.0,0.0,0.0,12.6,31.1,320,17.76,3
2025-03-03,38.1,22.1,29.1,29.5,13.0,0.0,0.0,0.0,7.5,20.1,290,16.84,3
2025-03-04,54.5,28.5,40.0,48.3,21.1,0.0,0.0,0.0,8.2,21.3,201,14.15,3
2025-03-05,54.2,42.1,49.2,48.7,36.9,1.504,1.504,0.0,18.0,39.1,165,4.67,65
2025-03-06,53.5,36.2,49.1,50.5,25.5,0.13,0.13,0.0,15.6,40.0,276,15.76,63
2025-03-07,45.9,30.6,38.3,35.2,20.9,0.0,0.0,0.0,19.1,45.4,289,16.35,3
2025-03-08,42.4,33.9,38.2,33.0,25.5,0.0,0.0,0.0,14.3,34.4,293,15.83,3
2025-03-09,50.3,28.1,38.5,43.0,20.6,0.0,0.0,0.0,14.3,37.1,264,14.91,3
2025-03-10,62.9,38.5,49.1,59.1,30.6,0.0,0.0,0.0,8.3,17.4,228,18.65,2
2025-03-11,60.9,37.2,49.1,56.8,32.5,0.0,0.0,0.0,7.7,20.1,181,18.92,2
2025-03-12,51.9,37.5,45.4,46.2,29.4,0.0,0.0,0.0,8.7,19.5,12,16.62,3
2025-03-13,51.0,35.4,41.8,46.5,28.6,0.0,0.0,0.0,8.1,19.9,74,18.34,3
2025-03-14,55.3,33.3,42.9,54.2,27.4,0.0,0.0,0.0,6.5,17.0,81,18.92,3
2025-03-15,48.9,39.2,43.9,44.4,35.2,0.02,0.02,0.0,7.5,18.1,161,6.77,51
2025-03-16,60.3,45.6,54.5,56.9,42.5,0.028,0.028,0.0,17.1,42.3,166,6.72,51
2025-03-17,58.7,38.1,52.7,58.0,29.3,1.047,1.047,0.0,14.8,32.9,311,5.96,65
2025-03-18,57.4,33.3,44.3,53.3,24.0,0.0,0.0,0.0,11.5,26.2,347,20.72,3
2025-03-19,58.5,37.0,46.7,55.9,32.7,0.0,0.0,0.0,6.2,16.3,140,20.27,3
2025-03-20,50.5,42.0,46.2,45.9,37.7,0.421,0.421,0.0,10.3,24.8,140,8.29,63
2025-03-21,48.6,36.5,43.6,44.9,25.6,0.319,0.319,0.0,16.0,38.3,314,21.17,63
2025-03-22,60.6,36.6,46.6,53.8,30.4,0.004,0.004,0.0,13.4,32.0,257,17.74,51
2025-03-23,46.5,27.6,37.4,40.9,17.5,0.0,0.0,0.0,11.3,28.0,297,21.54,3
2025-03-24,50.7,39.1,44.3,48.5,32.1,0.512,0.512,0.0,9.6,19.7,172,3.82,63
2025-03-25,57.4,40.7,48.4,48.0,34.3,0.0,0.0,0.0,15.3,35.8,256,20.55,3
2025-03-26,49.7,35.5,42.4,43.0,29.7,0.004,0.004,0.0,10.9,27.5,309,15.15,51
2025-03-27,49.5,31.3,40.0,41.4,24.3,0.0,0.0,0.0,9.7,25.5,289,22.42,0
2025-03-28,59.6,39.9,49.7,54.4,31.7,0.016,0.016,0.0,8.4,17.9,228,16.25,51
2025-03-29,78.4,43.2,59.9,74.7,38.3,0.189,0.189,0.0,14.0,31.8,245,18.24,63
2025-03-30,57.0,41.5,47.1,54.9,36.2,0.012,0.012,0.0,6.6,16.3,93,11.34,51
2025-03-31,74.8,46.2,61.0,74.3,43.7,1.413,1.413,0.0,12.2,30.9,201,14.64,65
2025-04-01,60.3,40.0,47.6,61.0,31.0,0.264,0.264,0.0,14.3,29.8,324,23.01,63
2025-04-02,47.3,32.2,40.2,42.9,24.5,0.0,0.0,0.0,9.8,26.6,94,20.37,3
2025-04-03,70.8,43.8,58.6,70.9,38.2,0.114,0.114,0.0,13.5,36.2,211,7.56,61
2025-04-04,69.7,54.5,63.0,69.9,51.5,0.272,0.272,0.0,10.1,24.8,310,16.6,63
2025-04-05,54.4,42.8,48.8,50.4,38.7,0.13,0.13,0.0,10.0,24.4,83,5.89,61
2025-04-06,59.1,42.8,49.5,55.0,39.1,0.173,0.173,0.0,7.9,20.1,338,9.63,63
2025-04-07,48.3,39.8,42.5,42.2,34.1,0.319,0.319,0.0,7.9,18.8,35,3.61,55
2025-04-08,43.4,35.2,39.9,38.0,25.2,0.0,0.0,0.0,17.2,40.3,294,22.28,3
2025-04-09,46.7,28.8,37.6,41.6,19.6,0.0,0.0,0.0,8.9,21.9,283,24.81,1
2025-04-10,48.9,35.3,41.3,43.6,30.3,0.028,0.028,0.0,10.5,26.6,143,14.31,51
2025-04-11,44.8,39.7,41.9,40.0,33.5,0.425,0.421,0.028,11.8,23.9,57,5.35,71
2025-04-12,42.2,35.1,39.0,34.4,25.4,0.673,0.587,0.606,14.9,31.1,14,4.62,73
2025-04-13,56.9,38.9,47.8,49.7,31.9,0.0,0.0,0.0,12.1,31.1,338,14.28,3
2025-04-14,61.1,41.8,51.0,56.8,36.6,0.0,0.0,0.0,7.1,17.0,246,15.09,3
2025-04-15,65.3,47.8,55.7,61.3,39.9,0.083,0.083,0.0,16.8,39.8,255,13.91,61
2025-04-16,49.7,41.7,45.5,39.2,33.0,0.0,0.0,0.0,16.0,38.9,286,13.61,3
2025-04-17,59.4,38.3,48.4,54.0,31.5,0.0,0.0,0.0,8.9,22.6,295,25.98,1
2025-04-18,64.0,39.6,52.7,60.6,35.9,0.0,0.0,0.0,11.2,25.7,170,23.76,3
2025-04-19,79.6,58.8,68.5,79.6,55.7,0.024,0.024,0.0,11.2,26.4,225,16.95,53
2025-04-20,70.8,50.6,59.8,70.4,42.6,0.0,0.0,0.0,12.1,31.1,325,25.11,3
2025-04-21,56.2,44.2,50.4,49.0,39.2,0.012,0.012,0.0,8.8,21.9,126,11.47,51
2025-04-22,78.4,51.1,64.0,76.4,48.8,0.004,0.004,0.0,10.2,25.1,266,25.41,51
2025-04-23,75.8,48.9,62.7,71.6,45.6,0.0,0.0,0.0,9.1,22.1,329,25.47,3
2025-04-24,79.8,52.5,66.6,77.6,49.6,0.0,0.0,0.0,9.9,25.7,172,25.73,3
2025-04-25,77.4,58.3,66.8,76.1,54.2,0.0,0.0,0.0,10.7,25.3,189,22.05,3
2025-04-26,70.5,56.3,64.6,72.0,48.5,0.563,0.563,0.0,13.9,31.3,222,6.67,63
2025-04-27,57.2,47.1,53.0,49.0,39.3,0.0,0.0,0.0,19.2,44.1,311,16.1,3
2025-04-28,72.4,47.9,60.8,71.6,42.2,0.0,0.0,0.0,8.2,21.0,291,27.28,3
2025-04-29,81.1,52.2,67.4,78.3,47.2,0.0,0.0,0.0,12.4,29.1,214,26.03,3
2025-04-30,72.9,61.5,68.8,68.8,55.5,0.0,0.0,0.0,11.2,28.6,305,26.54,3
2025-05-01,71.4,50.2,60.6,68.6,44.8,0.0,0.0,0.0,9.0,24.6,111,26.09,3
2025-05-02,86.1,57.3,71.1,85.2,54.9,0.083,0.083,0.0,9.4,26.4,194,20.84,55
2025-05-03,83.9,64.8,72.6,85.7,64.8,0.429,0.429,0.0,10.2,34.2,200,22.3,65
2025-05-04,69.6,59.8,63.9,70.9,59.8,0.469,0.469,0.0,8.9,22.8,150,10.15,61
2025-05-05,66.4,57.9,60.5,67.3,57.5,0.457,0.457,0.0,9.1,22.8,82,8.29,61
2025-05-06,65.7,57.3,61.0,65.4,56.8,0.772,0.772,0.0,9.6,24.2,133,13.02,65
2025-05-07,71.8,56.8,63.7,69.3,55.8,0.008,0.008,0.0,7.1,19.2,232,20.84,51
2025-05-08,73.9,55.9,64.3,79.9,56.4,0.055,0.055,0.0,7.6,17.4,355,23.55,51
2025-05-09,60.7,53.3,56.9,60.3,50.9,0.634,0.634,0.0,7.7,19.0,5,7.08,63
2025-05-10,68.6,50.3,59.0,64.5,45.2,0.0,0.0,0.0,14.3,34.2,304,22.2,3
2025-05-11,73.5,52.4,63.4,74.8,50.1,0.0,0.0,0.0,7.2,18.6,322,27.89,3
2025-05-12,68.7,51.5,60.7,67.9,49.1,0.0,0.0,0.0,6.8,18.8,131,27.79,3
2025-05-13,67.6,58.3,63.0,70.0,59.4,0.157,0.157,0.0,6.6,17.2,124,8.83,55
2025-05-14,67.4,58.0,61.1,65.5,56.6,1.031,1.031,0.0,12.9,30.0,93,9.05,65
2025-05-15,72.7,59.5,65.0,77.5,60.5,0.047,0.047,0.0,6.1,19.2,104,16.57,53
2025-05-16,73.4,59.6,65.0,76.4,61.9,0.02,0.02,0.0,8.9,25.7,172,14.09,51
2025-05-17,79.2,63.3,70.9,83.9,65.9,0.075,0.075,0.0,12.5,31.3,216,21.5,55
2025-05-18,72.8,58.7,65.8,69.4,54.7,0.012,0.012,0.0,15.3,40.3,283,22.21,51
2025-05-19,67.1,53.3,59.9,63.8,46.3,0.0,0.0,0.0,13.2,30.9,316,27.31,3
2025-05-20,64.1,47.3,56.1,60.2,41.9,0.0,0.0,0.0,9.0,24.2,355,22.42,3
2025-05-21,56.7,49.4,53.8,55.7,44.6,0.11,0.11,0.0,10.8,25.5,102,6.31,51
2025-05-22,54.5,48.0,50.7,50.6,43.3,0.913,0.913,0.0,12.7,29.8,58,6.49,63
2025-05-23,61.1,47.6,53.1,57.9,44.8,0.071,0.071,0.0,8.5,24.4,284,13.61,51
2025-05-24,62.2,47.5,55.6,58.7,42.7,0.016,0.016,0.0,11.1,28.6,283,20.0,51
2025-05-25,66.1,50.9,58.6,60.3,46.6,0.0,0.0,0.0,10.9,25.9,299,19.59,3
2025-05-26,70.5,50.5,61.3,69.0,47.5,0.0,0.0,0.0,7.0,18.6,326,25.48,2
2025-05-27,76.6,53.1,64.8,77.7,52.7,0.0,0.0,0.0,8.9,22.6,189,21.94,3
2025-05-28,66.6,54.0,60.1,63.7,52.5,0.413,0.413,0.0,7.5,20.1,160,9.6,61
2025-05-29,70.3,54.4,62.3,71.7,53.1,0.094,0.094,0.0,7.7,18.1,44,13.66,53
2025-05-30,73.7,61.1,66.1,77.2,62.1,0.142,0.142,0.0,7.0,18.3,191,17.13,53
2025-05-31,66.7,53.9,60.7,63.3,48.7,1.012,1.012,0.0,15.7,36.5,283,19.03,63
2025-06-01,65.3,49.6,57.7,60.6,44.3,0.0,0.0,0.0,13.1,30.9,277,20.94,3
2025-06-02,70.0,49.9,60.8,68.4,47.7,0.0,0.0,0.0,6.7,18.3,279,25.5,3
2025-06-03,79.2,52.2,66.1,80.5,51.0,0.0,0.0,0.0,6.7,15.4,214,29.7,1
2025-06-04,85.0,58.1,71.7,89.1,57.2,0.0,0.0,0.0,9.5,24.4,185,29.24,3
2025-06-05,94.1,67.9,80.8,97.4,70.3,0.0,0.0,0.0,10.0,25.7,216,24.23,3
2025-06-06,88.6,71.0,79.9,92.2,74.6,0.024,0.024,0.0,10.4,25.3,209,24.21,51
2025-06-07,80.0,68.1,73.6,83.9,71.1,0.264,0.264,0.0,10.4,22.6,315,12.91,63
2025-06-08,75.0,62.0,67.6,78.2,62.1,0.051,0.051,0.0,8.8,22.1,88,18.51,51
2025-06-09,69.4,59.4,63.7,71.7,58.8,0.228,0.228,0.0,7.4,17.7,77,9.51,63
2025-06-10,77.4,62.4,68.1,80.4,65.0,0.85,0.85,0.0,7.4,20.1,246,12.26,63
2025-06-11,82.4,62.2,73.2,82.8,64.5,0.0,0.0,0.0,11.4,28.0,276,26.69,3
2025-06-12,89.2,66.7,78.6,92.0,66.7,0.004,0.004,0.0,9.5,25.5,274,27.97,51
2025-06-13,85.3,67.0,75.1,85.8,66.5,0.0,0.0,0.0,7.0,20.6,83,24.66,3
2025-06-14,69.5,60.6,64.7,67.2,60.1,0.185,0.185,0.0,9.0,22.8,58,7.76,61
2025-06-15,66.8,58.8,62.2,67.8,58.3,0.217,0.217,0.0,6.6,16.1,73,7.89,61
2025-06-16,68.3,60.5,64.2,69.3,60.6,0.122,0.122,0.0,8.0,19.5,79,7.47,55
2025-06-17,70.5,62.6,66.1,73.3,65.4,0.516,0.516,0.0,6.5,16.6,122,8.21,63
2025-06-18,83.0,64.8,71.4,90.0,68.6,0.37,0.37,0.0,8.4,21.3,179,13.38,63
2025-06-19,88.1,71.3,78.1,96.1,75.2,0.358,0.358,0.0,10.8,28.4,224,24.13,63
2025-06-20,82.0,65.0,74.5,82.0,62.4,0.012,0.012,0.0,11.3,30.4,275,27.14,51
