id,name,lat,lng
119,"1 Av (L)",40.730953,-73.981628
309,"103 St (1)",40.799446,-73.968379
395,"103 St (6)",40.7906,-73.947478
156,"103 St (C,B)",40.796092,-73.961454
450,"103 St-Corona Plaza (7)",40.749865,-73.8627
193,"104 St (A)",40.681711,-73.837683
82,"104 St (J,Z)",40.695178,-73.84433
394,"110 St (6)",40.79502,-73.94425
449,"111 St (7)",40.75173,-73.855334
194,"111 St (A)",40.684331,-73.832163
81,"111 St (J)",40.697418,-73.836345
440,"116 St (2,3)",40.802098,-73.949625
393,"116 St (6)",40.798629,-73.941617
154,"116 St (C,B)",40.805085,-73.954882
307,"116 St-Columbia University (1)",40.807722,-73.96411
80,"121 St (J,Z)",40.700492,-73.828294
306,"125 St (1)",40.815581,-73.958372
439,"125 St (2,3)",40.807754,-73.945495
392,"125 St (4,5,6)",40.804138,-73.937594
153,"125 St (A,C,B,D)",40.811109,-73.952343
438,"135 St (2,3)",40.814229,-73.94077
152,"135 St (C,B)",40.817894,-73.947649
305,"137 St-City College (1)",40.822008,-73.953676
391,"138 St-Grand Concourse (4,5)",40.813224,-73.929849
618,"14 St (A,C,E)/8 Av (L)",40.740335,-74.002134
601,"14 St (F,M,1,2,3)/6 Av (L)",40.737796,-73.997732
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416
304,"145 St (1)",40.826551,-73.95036
437,"145 St (3)",40.820421,-73.936245
151,"145 St (A,C,B,D)",40.824783,-73.944216
603,"149 St-Grand Concourse (2,4,5)",40.818393,-73.927034
241,"15 St-Prospect Park (F,G)",40.660365,-73.979493
220,"155 St (B,D)",40.830135,-73.938209
150,"155 St (C)",40.830518,-73.941514
303,"157 St (1)",40.834041,-73.94489
604,"161 St-Yankee Stadium (B,D,4)",40.82795,-73.925741
149,"163 St-Amsterdam Av (C)",40.836013,-73.939892
388,"167 St (4)",40.835537,-73.9214
218,"167 St (B,D)",40.833771,-73.91844
605,"168 St (A,C,1)",40.840638,-73.939847
255,"169 St (F)",40.71047,-73.793604
387,"170 St (4)",40.840075,-73.917791
217,"170 St (B,D)",40.839306,-73.9134
428,"174 St (2,5)",40.837288,-73.887734
216,"174-175 Sts (B,D)",40.8459,-73.910136
147,"175 St (A)",40.847391,-73.939704
385,"176 St (4)",40.84848,-73.911794
66,"18 Av (D)",40.607954,-74.001736
245,"18 Av (F)",40.629755,-73.976971
74,"18 Av (N)",40.620671,-73.990414
321,"18 St (1)",40.74104,-73.997871
301,"181 St (1)",40.849505,-73.933596
146,"181 St (A)",40.851695,-73.937969
214,"182-183 Sts (B,D)",40.856093,-73.900741
383,"183 St (4)",40.858407,-73.903879
145,"190 St (A)",40.859022,-73.93418
300,"191 St (1)",40.855225,-73.929412
232,"2 Av (F)",40.723402,-73.989938
67,"20 Av (D)",40.604556,-73.998168
75,"20 Av (N)",40.61741,-73.985026
298,"207 St (1)",40.864621,-73.918822
282,"21 St (G)",40.744065,-73.949724
221,"21 St-Queensbridge (F)",40.754203,-73.942836
297,"215 St (1)",40.869444,-73.915279
420,"219 St (2,5)",40.883895,-73.862633
419,"225 St (2,5)",40.888022,-73.860341
320,"23 St (1)",40.744081,-73.995657
405,"23 St (6)",40.739864,-73.986599
165,"23 St (C,E)",40.745906,-73.998041
228,"23 St (F,M)",40.742878,-73.992821
14,"23 St (R,W)",40.741303,-73.989344
295,"231 St (1)",40.878856,-73.904834
418,"233 St (2,5)",40.893193,-73.857473
294,"238 St (1)",40.884667,-73.90087
69,"25 Av (D)",40.597704,-73.986829
31,"25 St (R)",40.660397,-73.998091
319,"28 St (1)",40.747215,-73.993365
404,"28 St (6)",40.74307,-73.984264
13,"28 St (R,W)",40.745494,-73.988691
118,"3 Av (L)",40.732849,-73.986122
377,"3 Av-138 St (6)",40.810476,-73.926138
434,"3 Av-149 St (2,5)",40.816109,-73.917757
3,"30 Av (N,W)",40.766779,-73.921479
403,"33 St (6)",40.746081,-73.982076
460,"33 St-Rawson St (7)",40.744587,-73.930997
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",40.749643,-73.987887
471,"34 St-Hudson Yards (7)",40.755882,-74.00191
318,"34 St-Penn Station (1,2,3)",40.750373,-73.991057
164,"34 St-Penn Station (A,C,E)",40.752287,-73.993391
5,"36 Av (N,W)",40.756804,-73.929575
32,"36 St (D,N,R)",40.655144,-74.003549
272,"36 St (M,R)",40.752039,-73.928781
6,"39 Av-Dutch Kills (N,W)",40.752882,-73.932755
608,"4 Av (F,G)/9 St (R)",40.670559,-73.989041
459,"40 St-Lowery St (7)",40.743781,-73.924016
33,"45 St (R)",40.648939,-74.010006
270,"46 St (M,R)",40.756312,-73.913333
458,"46 St-Bliss St (7)",40.743132,-73.918435
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.981329
10,"49 St (N,R,W)",40.759901,-73.984139
276,"5 Av/53 St (E,M)",40.760167,-73.975224
8,"5 Av/59 St (N,R,W)",40.764811,-73.973347
316,"50 St (1)",40.761728,-73.983849
162,"50 St (C,E)",40.762456,-73.985984
61,"50 St (D)",40.63626,-73.994791
457,"52 St (7)",40.744149,-73.912549
34,"53 St (R)",40.645069,-74.014034
62,"55 St (D)",40.631435,-73.995476
224,"57 St (F)",40.763972,-73.97745
9,"57 St-7 Av (N,Q,R,W)",40.764664,-73.980658
35,"59 St (N,R)",40.641362,-74.017881
614,"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833
456,"61 St-Woodside (7)",40.74563,-73.902984
263,"63 Dr-Rego Park (M,R)",40.729846,-73.861604
268,"65 St (M,R)",40.749669,-73.898453
314,"66 St-Lincoln Center (1)",40.77344,-73.982209
262,"67 Av (M,R)",40.726523,-73.852719
399,"68 St-Hunter College (6)",40.768141,-73.96387
455,"69 St (7)",40.746325,-73.896403
41,"7 Av (B,Q)",40.67705,-73.972367
277,"7 Av (E,B,D)",40.762862,-73.981637
240,"7 Av (F,G)",40.666271,-73.980305
64,"71 St (D)",40.619589,-73.998864
313,"72 St (1,2,3)",40.778453,-73.98197
160,"72 St (C,B)",40.775594,-73.97641
477,"72 St (Q)",40.768799,-73.958424
616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",40.746746,-73.891366
260,"75 Av (E,F)",40.718331,-73.837324
85,"75 St-Elderts Ln (J,Z)",40.691324,-73.867139
398,"77 St (6)",40.77362,-73.959874
37,"77 St (R)",40.629742,-74.02551
312,"79 St (1)",40.783934,-73.979917
65,"79 St (D)",40.613501,-74.00061
71,"8 Av (N)",40.635064,-74.011719
16,"8 St-NYU (R,W)",40.730328,-73.992629
190,"80 St (A)",40.679371,-73.858992
159,"81 St-Museum of Natural History (C,B)",40.781433,-73.972143
453,"82 St-Jackson Hts (7)",40.747659,-73.883697
84,"85 St-Forest Pkwy (J)",40.692435,-73.86001
311,"86 St (1)",40.788644,-73.976218
397,"86 St (4,5,6)",40.779492,-73.955589
158,"86 St (C,B)",40.785868,-73.968916
79,"86 St (N)",40.592721,-73.97823
476,"86 St (Q)",40.777891,-73.951787
38,"86 St (R)",40.622687,-74.028398
191,"88 St (A)",40.679843,-73.85147
59,"9 Av (D)",40.646292,-73.994324
452,"90 St-Elmhurst Av (7)",40.748408,-73.876613
310,"96 St (1,2,3)",40.793919,-73.972323
396,"96 St (6)",40.785672,-73.95107
157,"96 St (C,B)",40.791642,-73.964696
