id,name,borough,lat,lng
3,"Allerton/Pelham Gardens","Bronx",40.864414,-73.847449
4,"Alphabet City","Manhattan",40.723755,-73.977009
5,"Arden Heights","Staten Island",40.552679,-74.188461
6,"Arrochar/Fort Wadsworth","Staten Island",40.600295,-74.071705
7,"Astoria","Queens",40.76148,-73.919615
8,"Astoria Park","Queens",40.778544,-73.923046
9,"Auburndale","Queens",40.75111,-73.787936
10,"Baisley Park","Queens",40.678902,-73.791017
11,"Bath Beach","Brooklyn",40.604265,-74.00746
12,"Battery Park","Manhattan",40.702953,-74.015588
13,"Battery Park City","Manhattan",40.711996,-74.016085
14,"Bay Ridge","Brooklyn",40.624808,-74.029901
15,"Bay Terrace/Fort Totten","Queens",40.78335,-73.78596
16,"Bayside","Queens",40.762773,-73.773487
17,"Bedford","Brooklyn",40.691512,-73.949906
18,"Bedford Park","Bronx",40.867628,-73.890204
19,"Bellerose","Queens",40.735479,-73.726641
20,"Belmont","Bronx",40.857719,-73.885858
21,"Bensonhurst East","Brooklyn",40.601452,-73.983504
22,"Bensonhurst West","Brooklyn",40.612205,-73.995239
23,"Bloomfield/Emerson Hill","Staten Island",40.60646,-74.170912
24,"Bloomingdale","Manhattan",40.801922,-73.965499
25,"Boerum Hill","Brooklyn",40.685656,-73.986125
26,"Borough Park","Brooklyn",40.630945,-73.988662
27,"Breezy Point/Fort Tilden/Riis Beach","Queens",40.559221,-73.906642
28,"Briarwood/Jamaica Hills","Queens",40.711575,-73.808794
29,"Brighton Beach","Brooklyn",40.580946,-73.961245
30,"Broad Channel","Queens",40.603722,-73.82185
31,"Bronx Park","Bronx",40.857751,-73.875489
32,"Bronxdale","Bronx",40.864068,-73.864907
33,"Brooklyn Heights","Brooklyn",40.6958,-73.995277
34,"Brooklyn Navy Yard","Brooklyn",40.700875,-73.971198
35,"Brownsville","Brooklyn",40.664019,-73.910253
36,"Bushwick North","Brooklyn",40.700585,-73.917768
37,"Bushwick South","Brooklyn",40.694994,-73.922269
38,"Cambria Heights","Queens",40.694346,-73.735541
